coco class name,total occurances in approx. 200 videos with 100 frames each
hair_drier,19
toaster,46
giraffe,50
zebra,91
skis,225
baseball_glove,229
bear,257
hot_dog,259
pizza,279
baseball_bat,290
tennis_racket,334
snowboard,345
cat,355
fire_hydrant,358
sandwich,379
elephant,386
parking_meter,424
skateboard,500
sheep,516
bus,538
broccoli,539
carrot,556
keyboard,588
microwave,591
horse,625
toilet,636
cow,674
mouse,693
train,789
fork,851
bicycle,854
wine_glass,893
surfboard,1061
donut,1092
banana,1099
stop_sign,1108
apple,1112
dog,1165
sink,1178
sports_ball,1226
oven,1280
toothbrush,1295
orange,1330
frisbee,1351
suitcase,1387
teddy_bear,1486
airplane,1502
spoon,1523
remote,1615
truck,1631
bed,1639
cake,1706
bench,1840
boat,1995
refrigerator,1997
motorcycle,2039
knife,2050
scissors,2146
couch,2221
backpack,2522
vase,2684
traffic_light,2846
clock,2971
umbrella,3193
bird,3808
laptop,4247
car,4535
kite,4754
bowl,5228
potted_plant,5256
handbag,5332
tv,5463
cell_phone,5742
tie,6072
bottle,6641
cup,6868
dining_table,8448
book,14713
chair,19200
person,65152
